date,budID,noMatureAnthers,noImmatureAnthers,tetradCount1,tetradCount2,tetradCount3,tetradCount4,tetradCount5,tetradCount6,tetradCount7,tetradCount8,tetradCount9,tetradCount10,tetradCount11,tetradCount12,tetradCount13,tetradCount14,tetradCount15,tetradCount16,mnNoTetradSubsample,sdTetradSubsample,seTetradSubSample,estNoTetradSample,seTetradSample,estTetradAnther,mnNoGrainsSubsample,sdGrainsSubsample,seGrainsSubsample,estNoGrainsSample,seGrainsSample,site,notes
5/15/2018,1,10,0,9,14,9,7,9,17,5,7,9,12,10,5,NA,NA,NA,NA,9.416666667,3.528026317,1.018453472,706.25,22.05016448,70.625,37.66666667,14.11210527,4.073813888,2825,88.20065792,S14,
5/15/2018,2,19,0,47,42,37,44,39,30,31,33,42,22,39,60,42,45,NA,NA,39.5,9.044760489,2.417313921,2962.5,48.45407405,155.9210526,158,36.17904196,9.669255685,11850,193.8162962,S14,
5/15/2018,3,14,0,20,20,20,17,24,23,19,18,26,22,18,21,NA,NA,NA,NA,20.66666667,2.674231694,0.771984194,1550,16.71394809,110.7142857,82.66666667,10.69692677,3.087936776,6200,66.85579236,S14,
5/15/2018,4,10,4,9,16,16,10,23,13,14,13,10,11,14,12,20,14,NA,NA,13.92857143,3.89208834,1.040204363,1044.642857,20.85047325,104.4642857,55.71428571,15.56835336,4.160817454,4178.571428,83.401893,S14,
5/15/2018,5,15,0,11,15,10,9,12,8,15,16,12,12,23,22,17,16,NA,NA,14.14285714,4.486855038,1.19916245,1060.714286,24.03672342,70.71428571,56.57142857,17.94742015,4.796649799,4242.857144,96.14689368,S14,
5/15/2018,6,11,0,18,21,12,16,14,16,29,12,16,12,28,21,21,16,NA,NA,18,5.463163355,1.460091823,1350,29.26694655,122.7272727,72,21.85265342,5.840367292,5400,117.0677862,S14,
5/15/2018,7,15,1,14,20,21,25,16,30,20,20,17,19,21,17,NA,NA,NA,NA,20,4.242640687,1.224744871,1500,26.51650429,100,80,16.97056275,4.898979486,6000,106.0660172,S14,
5/15/2018,8,14,0,8,13,10,7,4,10,6,6,9,7,8,5,NA,NA,NA,NA,7.75,2.490892502,0.719058728,581.25,15.56807814,41.51785714,31,9.963570006,2.876234913,2325,62.27231256,S14,
5/15/2018,9,15,0,18,17,16,17,29,23,21,26,27,18,28,6,17,21,NA,NA,20.28571429,6.119685405,1.635554721,1521.428571,32.78402895,101.4285714,81.14285714,24.47874162,6.542218885,6085.714284,131.1361158,S14,
5/15/2018,10,14,4,13,15,19,17,15,20,14,10,19,15,13,15,NA,NA,NA,NA,15.41666667,2.906367096,0.838995913,1156.25,18.16479435,82.58928571,61.66666667,11.62546838,3.355983651,4625,72.6591774,S14,
5/15/2018,12,15,0,25,22,26,25,28,13,17,34,17,21,11,17,19,25,NA,NA,21.42857143,6.235312412,1.666457339,1607.142857,33.40345935,107.1428571,85.71428571,24.94124965,6.665829356,6428.571428,133.6138374,S14,
5/15/2018,13,10,0,10,3,11,5,3,7,9,5,5,17,9,8,8,10,NA,NA,7.857142857,3.697340892,0.988155919,589.2857143,19.80718335,58.92857143,31.42857143,14.78936357,3.952623674,2357.142857,79.2287334,S14,
5/15/2018,14,11,2,14,14,13,21,17,20,17,11,15,18,20,8,14,16,NA,NA,15.57142857,3.631365196,0.970523172,1167.857143,19.45374212,106.1688312,62.28571429,14.52546078,3.882092688,4671.428572,77.81496848,S14,
5/15/2018,15,12,0,24,13,13,13,14,14,20,10,9,10,21,9,NA,NA,NA,NA,14.16666667,4.951277766,1.429310775,1062.5,30.94548604,88.54166667,56.66666667,19.80511106,5.717243102,4250,123.7819442,S14,
5/15/2018,16,14,0,32,25,10,21,18,21,22,19,25,22,19,23,20,21,NA,NA,21.28571429,4.778615368,1.277138678,1596.428571,25.59972519,114.0306122,85.14285714,19.11446147,5.108554711,6385.714284,102.3989008,S14,
5/15/2018,17,12,0,5,5,10,7,8,6,9,7,6,3,10,9,11,8,NA,NA,7.428571429,2.277457615,0.608676151,557.1428571,12.20066579,46.42857143,29.71428571,9.109830459,2.434704602,2228.571428,48.80266316,S14,
5/15/2018,18,14,0,25,45,30,36,25,28,20,32,36,31,27,29,23,26,NA,NA,29.5,6.370001811,1.702454595,2212.5,34.1250097,158.0357143,118,25.48000725,6.80981838,8850,136.5000388,S14,
5/15/2018,19,12,0,20,31,21,19,34,30,28,25,19,26,22,31,NA,NA,NA,NA,25.5,5.282905537,1.525043467,1912.5,33.0181596,159.375,102,21.13162215,6.100173867,7650,132.0726384,S14,
5/15/2018,20,17,0,41,21,39,25,38,34,35,28,24,22,33,19,NA,NA,NA,NA,29.91666667,7.668807343,2.213793992,2243.75,47.93004589,131.9852941,119.6666667,30.67522937,8.855175967,8975,191.7201836,S14,
5/15/2018,21,7,4,14,19,13,22,28,19,26,11,13,20,12,18,NA,NA,NA,NA,17.91666667,5.534328133,1.597622919,1343.75,34.58955083,191.9642857,71.66666667,22.13731253,6.390491674,5375,138.3582033,S14,
5/15/2018,22,14,0,13,11,12,17,11,14,18,16,17,13,21,9,15,20,NA,NA,14.78571429,3.555679561,0.950295335,1108.928571,19.04828336,79.20918367,59.14285714,14.22271825,3.801181342,4435.714284,76.19313344,S14,
5/15/2018,23,12,0,5,4,2,4,4,3,3,5,6,2,4,3,NA,NA,NA,NA,3.75,1.215431087,0.350864733,281.25,7.596444294,23.4375,15,4.861724348,1.403458931,1125,30.38577718,S14,
5/15/2018,24,15,0,48,45,46,37,41,32,35,59,30,46,37,52,26,51,NA,NA,41.78571429,9.390490865,2.509714251,3133.928571,50.30620106,208.9285714,167.1428571,37.56196346,10.038857,12535.71428,201.2248042,S14,
5/15/2018,25,10,0,3,8,4,6,4,1,8,3,5,9,8,4,NA,NA,NA,NA,5.25,2.527125568,0.729518314,393.75,15.7945348,39.375,21,10.10850227,2.918073254,1575,63.1781392,S14,
5/15/2018,26,14,0,10,9,13,16,9,8,6,11,13,9,4,15,19,11,NA,NA,10.92857143,4.008918629,1.071428571,819.6428571,21.4763498,58.54591837,43.71428571,16.03567451,4.285714286,3278.571428,85.9053992,S14,
5/15/2018,27,10,0,24,21,25,21,26,16,31,28,22,21,15,23,20,12,NA,NA,21.78571429,5.101712705,1.363490074,1633.928571,27.33060378,163.3928571,87.14285714,20.40685082,5.453960294,6535.714284,109.3224151,S14,
5/15/2018,28,14,0,31,23,24,21,23,13,20,21,24,23,27,28,NA,NA,NA,NA,23.16666667,4.509249753,1.301708279,1737.5,28.18281096,124.1071429,92.66666667,18.03699901,5.206833117,6950,112.7312438,S14,
5/15/2018,29,10,0,17,12,11,8,19,17,6,20,12,18,18,16,14,15,NA,NA,14.5,4.201648028,1.12293767,1087.5,22.50882872,108.75,58,16.80659211,4.491750681,4350,90.03531488,S14,
5/15/2018,30,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S14,anthers underdeveloped
5/21/2018,31,14,0,37,34,33,18,37,32,28,38,42,36,35,32,34,42,NA,NA,34.14285714,5.998168219,1.603077887,2560.714286,32.13304403,182.9081633,136.5714286,23.99267287,6.412311549,10242.85714,128.5321761,S10,
5/21/2018,32,14,0,1,1,12,9,13,0,8,12,6,7,10,9,8,9,NA,NA,7.5,4.183300133,1.118033989,562.5,22.41053643,40.17857143,30,16.73320053,4.472135955,2250,89.64214572,S10,
5/21/2018,33,16,0,29,28,32,47,32,37,37,28,36,31,31,33,NA,NA,NA,NA,33.41666667,5.31649805,1.53474079,2506.25,33.22811281,156.640625,133.6666667,21.2659922,6.138963161,10025,132.9124512,S10,
5/21/2018,34,15,0,23,27,31,29,37,31,30,45,21,44,35,36,NA,NA,NA,NA,32.41666667,7.403418539,2.137182843,2431.25,46.27136587,162.0833333,129.6666667,29.61367416,8.548731373,9725,185.0854635,S10,
5/21/2018,35,15,0,46,35,41,28,27,43,31,51,26,26,26,41,36,34,41,25,34.8125,8.256058382,2.064014595,2610.9375,38.70027366,174.0625,139.25,33.02423353,8.256058382,10443.75,154.8010946,S10,
5/21/2018,36,10,0,11,8,13,12,8,12,20,7,18,17,12,5,NA,NA,NA,NA,11.91666667,4.601547829,1.328352439,893.75,28.75967393,89.375,47.66666667,18.40619132,5.313409756,3575,115.0386957,S10,
5/21/2018,37,16,0,29,29,39,58,26,46,34,58,18,45,40,35,30,38,NA,NA,37.5,11.46734494,3.06477685,2812.5,61.43220504,175.78125,150,45.86937976,12.2591074,11250,245.7288202,S10,
5/21/2018,38,16,0,36,49,40,9,41,31,46,28,31,38,42,39,29,40,NA,NA,35.64285714,9.865301608,2.63661276,2673.214286,52.84983004,167.0758929,142.5714286,39.46120643,10.54645104,10692.85714,211.3993202,S10,
5/21/2018,39,15,0,32,37,15,37,31,36,26,43,43,37,45,45,13,51,45,36,35.75,10.57985507,2.644963768,2681.25,49.59307065,178.75,143,42.31942029,10.57985507,10725,198.3722826,S10,
5/21/2018,40,15,0,39,33,38,32,33,31,10,17,39,36,38,37,30,30,NA,NA,31.64285714,8.454467575,2.259551504,2373.214286,45.29179058,158.2142857,126.5714286,33.8178703,9.038206015,9492.857144,181.1671623,S10,
5/21/2018,41,15,0,35,29,22,27,21,34,29,30,27,16,28,NA,NA,NA,NA,NA,27.09090909,5.593827767,1.686602531,2031.818182,38.13973478,135.4545455,108.3636364,22.37531107,6.746410126,8127.272728,152.5589391,S10,
5/21/2018,42,13,0,19,5,13,14,16,25,20,15,28,16,10,10,11,10,NA,NA,15.14285714,6.249395575,1.670221223,1135.714286,33.47890487,87.36263736,60.57142857,24.9975823,6.68088489,4542.857144,133.9156195,S10,
5/21/2018,43,20,0,69,61,52,66,71,78,54,62,66,57,41,78,NA,NA,NA,NA,62.91666667,10.84987083,3.132087921,4718.75,67.81169267,235.9375,251.6666667,43.39948331,12.52835169,18875,271.2467707,S10,
5/21/2018,44,14,0,24,28,39,32,30,2,36,19,27,31,44,35,34,26,NA,NA,29.07142857,10.06489929,2.689957485,2180.357143,53.91910336,155.7397959,116.2857143,40.25959718,10.75982994,8721.428572,215.6764134,S10,
5/21/2018,45,13,0,30,30,42,26,21,34,38,26,30,29,22,20,NA,NA,NA,NA,29,6.674238125,1.926686589,2175,41.71398828,167.3076923,116,26.6969525,7.706746356,8700,166.8559531,S10,
5/21/2018,46,17,0,36,62,52,42,49,46,69,88,44,53,47,44,54,60,51,42,52.4375,12.66474766,3.166186915,3932.8125,59.36600466,231.3419118,209.75,50.65899065,12.66474766,15731.25,237.4640186,S10,
5/21/2018,47,15,0,43,25,40,29,32,44,41,48,32,46,48,36,42,42,NA,NA,39.14285714,7.220240171,1.929690355,2935.714286,38.67985806,195.7142857,156.5714286,28.88096069,7.71876142,11742.85714,154.7194322,S10,
5/21/2018,48,19,0,66,50,58,58,44,40,60,72,50,56,66,68,63,48,NA,NA,57.07142857,9.579339031,2.560186046,4280.357143,51.31788766,225.2819549,228.2857143,38.31735612,10.24074418,17121.42857,205.2715506,S10,
5/21/2018,49,17,0,64,44,54,46,47,50,46,60,36,46,49,58,64,42,NA,NA,50.42857143,8.42810578,2.252506018,3782.142857,45.15056668,222.4789916,201.7142857,33.71242312,9.010024071,15128.57143,180.6022667,S10,
5/21/2018,50,19,0,44,57,75,67,60,67,65,59,48,34,50,57,36,55,NA,NA,55.28571429,11.87387936,3.173427743,4146.428571,63.61006798,218.2330827,221.1428571,47.49551743,12.69371097,16585.71428,254.4402719,S10,
5/21/2018,51,15,0,26,20,31,37,23,27,23,38,30,27,33,19,NA,NA,NA,NA,27.83333333,6.176691279,1.783057186,2087.5,38.60432049,139.1666667,111.3333333,24.70676511,7.132228745,8350,154.417282,S10,
5/21/2018,52,16,0,58,33,30,48,48,68,22,45,54,56,63,51,54,51,NA,NA,48.64285714,12.73159089,3.402660793,3648.214286,68.2049512,228.0133929,194.5714286,50.92636356,13.61064317,14592.85714,272.8198048,S10,
5/21/2018,53,13,0,14,22,22,24,41,10,21,26,30,33,27,28,NA,NA,NA,NA,24.83333333,8.200147818,2.367178775,1862.5,51.25092386,143.2692308,99.33333333,32.80059127,9.468715101,7450,205.0036954,S10,
5/21/2018,54,15,0,24,16,18,37,28,23,22,18,25,31,,,NA,NA,NA,NA,24.2,6.460134158,2.042873793,1815,48.45100618,121,96.8,25.84053663,8.171495171,7260,193.8040247,S10,
5/21/2018,55,17,0,38,30,37,25,37,31,23,41,56,41,32,38,NA,NA,NA,NA,35.75,8.666812353,2.501893223,2681.25,54.16757721,157.7205882,143,34.66724941,10.00757289,10725,216.6703088,S10,
5/21/2018,56,15,0,19,11,30,18,31,21,23,26,28,30,24,23,NA,NA,NA,NA,23.66666667,5.882691612,1.698186793,1775,36.76682258,118.3333333,94.66666667,23.53076645,6.792747172,7100,147.0672903,S10,
5/21/2018,57,1,10,3,2,0,2,2,0,3,0,1,0,2,2,NA,NA,NA,NA,1.416666667,1.164500153,0.336162238,106.25,7.278125956,106.25,5.666666667,4.658000612,1.344648953,425,29.11250382,S10,
5/21/2018,58,11,0,26,28,29,29,18,28,32,28,19,20,33,31,38,38,33,20,28.125,6.270300365,1.567575091,2109.375,29.39203296,191.7613636,112.5,25.08120146,6.270300365,8437.5,117.5681318,S10,
5/21/2018,59,14,0,14,37,40,34,42,43,42,47,34,35,36,40,32,39,NA,NA,36.78571429,7.76757136,2.075970768,2758.928571,41.61198943,197.0663265,147.1428571,31.07028544,8.303883073,11035.71428,166.4479577,S10,
5/21/2018,60,15,0,30,20,69,33,47,43,41,52,66,53,42,50,32,53,NA,NA,45.07142857,13.6295171,3.642641666,3380.357143,73.01527016,225.3571429,180.2857143,54.51806838,14.57056666,13521.42857,292.0610806,S10,
5/22/2018,61,12,0,56,24,45,44,44,40,23,34,46,33,42,45,NA,NA,NA,NA,39.66666667,9.566355184,2.76156887,2975,59.7897199,247.9166667,158.6666667,38.26542074,11.04627548,11900,239.1588796,S3,
5/22/2018,62,13,0,54,35,44,70,54,55,55,39,57,41,43,37,68,54,49,46,50.0625,10.22721044,2.556802609,3754.6875,47.94004893,288.8221154,200.25,40.90884175,10.22721044,15018.75,191.7601957,S3,
5/22/2018,63,10,0,25,32,36,27,28,31,21,14,32,30,29,33,NA,NA,NA,NA,28.16666667,5.951826814,1.718144407,2112.5,37.19891759,211.25,112.6666667,23.80730726,6.872577627,8450,148.7956704,S3,
5/22/2018,64,15,0,26,18,31,33,24,34,35,22,27,17,31,31,NA,NA,NA,NA,27.41666667,6.111960455,1.764371007,2056.25,38.19975285,137.0833333,109.6666667,24.44784182,7.057484028,8225,152.7990114,S3,
5/22/2018,65,12,0,42,38,33,29,28,43,35,42,32,30,48,42,15,36,NA,NA,35.21428571,8.377429121,2.238962111,2641.071429,44.87908458,220.0892857,140.8571429,33.50971648,8.955848444,10564.28572,179.5163383,S3,
5/22/2018,66,15,0,43,50,43,34,41,34,69,45,44,52,52,54,49,53,NA,NA,47.35714286,8.983807167,2.40102346,3551.785714,48.12753839,236.7857143,189.4285714,35.93522867,9.604093842,14207.14286,192.5101536,S3,
5/22/2018,67,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S3,anthers underdeveloped
5/22/2018,68,13,0,27,17,11,30,19,15,12,14,11,22,30,23,NA,NA,NA,NA,19.25,7.085516598,2.045412457,1443.75,44.28447873,111.0576923,77,28.34206639,8.18164983,5775,177.1379149,S3,
5/23/2018,68b,,0,32,36,40,38,31,37,27,37,35,23,28,28,NA,NA,NA,NA,32.66666667,5.297226261,1.529177504,2450,33.10766413,#DIV/0!,130.6666667,21.18890504,6.116710016,9800,132.4306565,S3,
5/22/2018,69,15,0,27,39,30,25,25,25,30,12,28,23,41,28,NA,NA,NA,NA,27.75,7.423855896,2.1430826,2081.25,46.39909935,138.75,111,29.69542358,8.5723304,8325,185.5963974,S3,
5/22/2018,70,15,0,22,30,36,31,43,45,35,36,37,36,40,,NA,NA,NA,NA,35.54545455,6.346079677,1.913415016,2665.909091,43.26872507,177.7272727,142.1818182,25.38431871,7.653660065,10663.63636,173.0749003,S3,
5/22/2018,71,15,0,66,41,70,46,54,53,66,49,64,61,52,55,52,NA,NA,NA,56.07692308,8.6839079,2.408482708,4205.769231,50.09946865,280.3846154,224.3076923,34.7356316,9.633930832,16823.07692,200.3978746,S3,
5/22/2018,72,14,0,14,22,19,23,18,20,26,25,20,19,20,15,NA,NA,NA,NA,20.08333333,3.579190699,1.033223357,1506.25,22.36994187,107.5892857,80.33333333,14.3167628,4.132893427,6025,89.47976748,S3,
5/22/2018,73,15,0,58,58,44,50,58,43,60,55,58,51,40,48,NA,NA,NA,NA,51.91666667,6.921092049,1.997947179,3893.75,43.25682531,259.5833333,207.6666667,27.6843682,7.991788715,15575,173.0273012,S3,
5/22/2018,74,11,0,17,28,23,15,23,17,28,20,15,15,13,15,NA,NA,NA,NA,19.08333333,5.247654599,1.514867398,1431.25,32.79784124,130.1136364,76.33333333,20.9906184,6.05946959,5725,131.191365,S3,
5/22/2018,75,17,0,27,25,34,46,40,40,38,31,48,30,38,48,NA,NA,NA,NA,37.08333333,7.867751594,2.27122425,2781.25,49.17344747,163.6029412,148.3333333,31.47100638,9.084897002,11125,196.6937899,S3,
5/22/2018,76,14,0,30,21,29,33,19,37,22,38,25,32,25,34,39,33,NA,NA,29.78571429,6.494714673,1.735785509,2233.928571,34.79311432,159.5663265,119.1428571,25.97885869,6.943142037,8935.714284,139.1724573,S3,
5/22/2018,77,15,0,20,15,9,19,14,12,12,11,23,29,14,18,NA,NA,NA,NA,16.33333333,5.7260701,1.652974057,1225,35.78793812,81.66666667,65.33333333,22.9042804,6.611896227,4900,143.1517525,S3,
5/22/2018,78,19,0,48,63,48,49,61,47,59,42,62,49,56,47,NA,NA,NA,NA,52.58333333,7.153617436,2.065071476,3943.75,44.71010898,207.5657895,210.3333333,28.61446975,8.260285905,15775,178.8404359,S3,
5/22/2018,79,16,0,53,54,53,48,52,44,50,33,42,45,59,55,43,51,NA,NA,48.71428571,6.730282557,1.798743675,3653.571429,36.05508513,228.3482143,194.8571429,26.92113023,7.194974698,14614.28572,144.2203405,S3,
5/22/2018,80,15,0,34,28,44,41,30,42,32,21,28,32,37,47,NA,NA,NA,NA,34.66666667,7.69100222,2.220201101,2600,48.06876388,173.3333333,138.6666667,30.76400888,8.880804404,10400,192.2750555,S3,
5/22/2018,81,13,0,18,20,13,21,20,21,15,21,17,17,15,18,NA,NA,NA,NA,18,2.69679945,0.778498944,1350,16.85499656,103.8461538,72,10.7871978,3.113995777,5400,67.41998624,S3,
5/22/2018,82,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S3,anther underdeveloped
5/22/2018,83,14,0,45,44,39,7,42,44,48,46,51,56,29,29,46,49,NA,NA,41.07142857,12.3129968,3.290786815,3080.357143,65.96248284,220.0255102,164.2857143,49.25198719,13.16314726,12321.42857,263.8499314,S3,
5/22/2018,84,15,0,55,38,40,23,34,30,34,26,26,34,30,32,34,31,NA,NA,33.35714286,7.751993717,2.071807468,2501.785714,41.52853777,166.7857143,133.4285714,31.00797487,8.287229873,10007.14286,166.1141511,S3,
5/22/2018,85,14,0,0,1,1,8,5,1,2,3,9,16,,,NA,NA,NA,NA,4.6,5.059644256,1.6,345,37.94733192,24.64285714,18.4,20.23857703,6.4,1380,151.7893277,S3,
5/22/2018,86,15,0,40,47,46,51,43,59,43,55,41,46,44,24,48,38,NA,NA,44.64285714,8.251872914,2.205405803,3348.214286,44.20646204,223.2142857,178.5714286,33.00749166,8.821623213,13392.85714,176.8258482,S3,
5/22/2018,87,14,0,60,37,50,47,35,49,42,35,49,46,25,57,45,47,NA,NA,44.57142857,9.221332172,2.464504688,3342.857143,49.39999378,238.7755102,178.2857143,36.88532869,9.858018754,13371.42857,197.5999751,S3,
5/22/2018,88,17,0,62,62,48,48,42,41,53,52,43,44,49,62,47,46,NA,NA,49.92857143,7.384644002,1.973629127,3744.642857,39.56059287,220.2731092,199.7142857,29.53857601,7.894516508,14978.57143,158.2423715,S3,
5/22/2018,89,13,0,30,19,41,25,40,36,27,45,30,29,41,32,46,48,38,25,34.5,8.59457193,2.148642983,2587.5,40.28705592,199.0384615,138,34.37828772,8.59457193,10350,161.1482237,S3,
5/22/2018,90,15,0,31,26,37,37,54,33,32,40,57,46,46,38,NA,NA,NA,NA,39.75,9.382042809,2.708362471,2981.25,58.63776756,198.75,159,37.52817124,10.83344988,11925,234.5510702,S3,
5/22/2018,91,14,0,31,46,37,37,45,55,42,53,45,25,16,33,62,41,45,33,40.375,11.51737817,2.879344543,3028.125,53.98771019,216.2946429,161.5,46.0695127,11.51737817,12112.5,215.9508408,S3,
